Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Stefon Diggs,201.6,68.31428571428572,0.42857142857142855,0.08571428571428572,5.214285714285714,7.628571428571429,0.4142857142857143,24.0,2.2714285714285714,66.04285714285714,13.160000000000002,0.42857142857142855,3.0,67.96000000000001,0.0,0.12857142857142856,15.6,57.2,5.52,5.628571428571429,12.6,79.4,0.4,0.26666666666666666,4.2,6.266666666666667,0.3333333333333333,26,4.066666666666666,75.33333333333333,17.9,0.4,2.7333333333333334,67.0,0.0,0.2,27.0,66.0,12.2,4.533333333333333,17.5
Stefon Diggs,147.1,65.2909090909091,0.43636363636363634,0.03636363636363636,5.490909090909091,8.0,0.43636363636363634,23.5,1.7818181818181817,63.50909090909091,11.975000000000001,0.43636363636363634,3.0727272727272728,68.2,0.0,0.10909090909090909,12.75,55.0,3.8499999999999996,5.927272727272728,11.375,72.2,0.6,0.0,6.8,9.933333333333334,0.6666666666666666,25,4.133333333333334,68.06666666666666,10.0,0.6,3.2666666666666666,68.5,0.0,0.2,20.0,75.0,6.2,7.466666666666667,9.7
Stefon Diggs,162.3,62.7,0.375,0.05,5.0,7.275,0.35,23.0,0.9,61.8,12.633333333333335,0.375,3.0,68.10000000000001,0.0,0.075,10.333333333333334,48.333333333333336,3.0666666666666664,5.35,11.933333333333332,61.57142857142857,0.5714285714285714,0.0,4.571428571428571,6.785714285714286,0.5714285714285714,24,0.9285714285714286,60.642857142857146,13.3,0.5714285714285714,3.0,67.4,0.0,0.07142857142857142,9.0,59.0,1.6,5.142857142857143,12.0
Stefon Diggs,134.2,63.30769230769231,0.2692307692307692,0.07692307692307693,5.230769230769231,7.538461538461538,0.23076923076923078,22.5,0.8846153846153846,62.42307692307692,12.3,0.2692307692307692,3.0,68.45,0.0,0.07692307692307693,11.0,43.0,3.8,5.461538461538462,11.9,70.23076923076923,0.23076923076923078,0.0,6.461538461538462,8.615384615384615,0.23076923076923078,23,0.7692307692307693,69.46153846153847,10.8,0.23076923076923078,3.6923076923076925,75.0,0.0,0.07692307692307693,12.0,46.0,3.3,6.6923076923076925,10.5
Stefon Diggs,109.3,56.38461538461539,0.3076923076923077,0.15384615384615385,4.0,6.461538461538462,0.23076923076923078,22.0,1.0,55.38461538461539,13.8,0.3076923076923077,2.3076923076923075,61.9,0.0,0.07692307692307693,10.0,40.0,4.3,4.230769230769231,13.3,56.38461538461539,0.3076923076923077,0.15384615384615385,4.0,6.461538461538462,0.23076923076923078,22,1.0,55.38461538461539,13.8,0.3076923076923077,2.3076923076923075,61.9,0.0,0.07692307692307693,10.0,40.0,4.3,4.230769230769231,13.3
David Montgomery,208.8,67.125,0.4375,0.125,1.5625,2.1875,15.125,22.0,55.5625,11.5625,7.4,0.0625,0.4375,71.4,0.375,3.125,55.0,30.0,3.7,16.6875,4.0,67.125,0.4375,0.125,1.5625,2.1875,15.125,22,55.5625,11.5625,7.4,0.0625,0.4375,71.4,0.375,3.125,55.0,30.0,3.7,16.6875,4.0
Aaron Jones,207.9,74.05,0.8,0.1,2.1,3.025,11.25,24.0,56.5,17.55,6.666666666666667,0.1,0.8,65.46666666666665,0.7,2.975,56.333333333333336,33.333333333333336,5.2,13.35,5.533333333333334,97.375,1.1875,0.1875,3.0625,4.25,14.75,25,67.75,29.625,9.7,0.1875,1.125,72.1,1.0,3.4375,56.0,67.0,4.6,17.8125,5.5
Aaron Jones,263.8,58.5,0.5416666666666666,0.041666666666666664,1.4583333333333333,2.2083333333333335,8.916666666666666,23.5,49.0,9.5,5.15,0.041666666666666664,0.5833333333333334,62.15,0.5,2.6666666666666665,56.5,16.5,5.5,10.375,5.550000000000001,77.83333333333333,0.75,0.08333333333333333,2.1666666666666665,2.9166666666666665,11.083333333333334,24,60.666666666666664,17.166666666666668,7.9,0.08333333333333333,1.0,74.3,0.6666666666666666,3.4166666666666665,67.0,24.0,5.5,13.25,5.9
Aaron Jones,145.4,39.166666666666664,0.3333333333333333,0.0,0.75,1.5,6.75,23.0,37.333333333333336,1.8333333333333333,2.4,0.0,0.16666666666666666,50.0,0.3333333333333333,1.9166666666666667,46.0,9.0,5.5,7.5,5.2,39.166666666666664,0.3333333333333333,0.0,0.75,1.5,6.75,23,37.333333333333336,1.8333333333333333,2.4,0.0,0.16666666666666666,50.0,0.3333333333333333,1.9166666666666667,46.0,9.0,5.5,7.5,5.2
Travis Kelce,205.6,67.40625,0.3958333333333333,0.09375,5.28125,7.447916666666667,0.041666666666666664,27.0,0.0625,67.34375,10.928571428571429,0.3854166666666667,3.4791666666666665,61.07142857142857,0.010416666666666666,0.03125,0.42857142857142855,41.42857142857143,0.35714285714285715,5.322916666666667,10.857142857142858,77.0625,0.375,0.0625,6.0625,8.5,0.0625,30,0.25,76.8125,12.7,0.3125,4.0625,71.3,0.0625,0.0625,4.0,47.0,4.0,6.125,12.6
