Player,Actual,Career Att,Career Rush Yards,Career Rush Avg,Career Rush TD,Career Rec,Career Rec Yards,Career Rec Avg,Career Rec TD,Career Touches,Career Scrimmage Yards,Career yards/touch,Career TOT TDs,Last Season Att,Last Season Rush Yards,Last Season Rush Avg,Last Season Rush TD,Last Season Rec,Last Season Rec Yards,Last Season Rec Avg,Last Season Rec TD,Last Season Touches,Last Season Scrimmage Yards,Last Season Yards/Touch,Last Season TOT TDs
Tyler Lockett,155.4,0.468085106,4.085106383,8.727272727,0,5.29787234,78.93617021,14.89959839,0.617021277,5.765957447,83.0212766,14.39852399,0.617021277,0.266775777,1.307692308,4.901840491,0,8.153846154,116.5384615,14.29245283,0.846153846,8.384615385,117.8461538,14.05504587,0.846153846
Curtis Samuel ,32.9,4.3,32.15,7.476744186,0.375,2.675,31.225,11.6728972,0.225,6.975,63.375,9.086021505,0.6,7.461538462,59.30769231,7.948453608,0.615384615,5.898076923,66.53846154,11.28138246,0.538461538,13.15384615,125.8461538,9.567251462,1.153846154
Mike Davis ,16.6,18.16,97.6,5.374449339,0.88,2.8,30.2,10.78571429,0.08,20.96,127.8,6.097328244,0.96,15.30769231,75.53846154,4.934673367,0.692307692,2.676923077,28.30769231,10.57471264,0.153846154,17.76923077,103.8461538,5.844155844,0.846153846
Mike Evans,245.1,0,0,0,0,5.807692308,96.11538462,16.54966887,0.653846154,5.807692308,96.11538462,16.54966887,0.653846154,0,0,0,0,5.307692308,107.2307692,20.20289855,0.923076923,5.307692308,107.2307692,20.20289855,0.923076923
Keenan Allen ,223.6,0.909090909,6.96969697,7.666666667,0.060606061,6.212121212,77.87878788,12.53658537,0.515151515,7.121212121,84.84848485,11.91489362,0.575757576,0.434343434,4.333333333,9.976744186,0.111111111,6.777777778,81.88888889,12.08196721,0.666666667,7.111111111,86.22222222,12.125,0.777777778
Corey Davis ,71.5,0.06,0.26,4.333333333,0,6.62,105.56,15.94561934,1.04,6.68,105.82,15.84131737,1.04,0.075714286,0,0,0,6.928571429,107.1428571,15.46391753,1.357142857,7,107.1428571,15.30612245,1.357142857
Marvin Jones ,48.8,0.255813953,2.697674419,10.54545455,0.023255814,3.627906977,52.79069767,14.55128205,0.302325581,3.88372093,55.48837209,14.28742515,0.325581395,0.404293381,1.692307692,4.185840708,0,4.769230769,65.07692308,13.64516129,0.230769231,5.153846154,66.76923077,12.95522388,0.230769231
Myles Gaskin,31.4,18.17307692,102.3653846,5.632804233,1.096153846,1.25,8.942307692,7.153846154,0.096153846,19.42307692,111.3076923,5.730693069,1.192307692,21.58333333,105.6666667,4.895752896,1,1.854166667,6.416666667,3.460674157,0.083333333,23.33333333,112.0833333,4.803571429,1.083333333
Chris Carson,39.7,10.14285714,51.23809524,5.051643192,0.619047619,1.428571429,14.19047619,9.933333333,0.047619048,11.57142857,65.42857143,5.654320988,0.666666667,9.111111111,62.11111111,6.817073171,1,1.603174603,14.22222222,8.871287129,0.111111111,10.55555556,76.33333333,7.231578947,1.111111111
Cole Beasley,27.8,0.020408163,0.040816327,2,0.020408163,5.204081633,60.3877551,11.60392157,0.285714286,5.224489796,60.42857143,11.56640625,0.306122449,0.085034014,0.166666667,1.96,0.083333333,7.166666667,86.66666667,12.09302326,0.166666667,7.25,86.83333333,11.97701149,0.25
Devin Singletary,149.9,18.78947368,112.8157895,6.004201681,1.736842105,1.342105263,10.44736842,7.784313725,0.026315789,20.13157895,123.2631579,6.122875817,1.763157895,21.75,112.3333333,5.164750958,1.833333333,0.611842105,3,4.903225806,0,22.25,115.3333333,5.183520599,1.833333333
J.D. McKissic,3.8,0.94,7.58,8.063829787,0.04,5.78,56.76,9.820069204,0.22,6.72,64.34,9.574404762,0.26,1.456923077,8.615384615,5.913410771,0,4,40.38461538,10.09615385,0.153846154,5.384615385,49,9.1,0.153846154
Diontae Johnson ,161.1,0.105263158,0.684210526,6.5,0,3.552631579,58.81578947,16.55555556,0.605263158,3.657894737,59.5,16.26618705,0.605263158,0.16194332,1.307692308,8.075,0,3.769230769,58.53846154,15.53061224,0.615384615,3.923076923,59.84615385,15.25490196,0.615384615
James Conner,14.4,17.12820513,95.71794872,5.588323353,1.333333333,0.769230769,10.56410256,13.73333333,0.102564103,17.8974359,106.2820513,5.938395415,1.435897436,16.61538462,84,5.055555556,1.230769231,1.674556213,23.23076923,13.87279152,0.307692308,18.23076923,107.2307692,5.88185654,1.538461538
Nelson Agholor,57.3,0.175,0.45,2.571428571,0,4.45,64.3,14.4494382,0.5,4.625,64.75,14,0.5,0.321153846,0.230769231,0.718562874,0,8,101,12.625,0.923076923,8.307692308,101.2307692,12.18518519,0.923076923
